match_id,role,raw_name,canonical_athlete_id
13893,winner,Mansher Khera,athlete_mansher-khera-m
13893,loser,Sergio Ardila-Ibarra,athlete_sergio-ardilaibarra-m
1160,winner,Dean Lister,athlete_dean-lister-m
1160,loser,Jean Jacques Machado,athlete_jean-jacques-machado-m
13861,winner,Abdurakhman Bilarov,athlete_abdurakhman-bilarov-m
13861,loser,Jake Shields,athlete_jake-shields-m
4991,winner,AJ Agazarm,athlete_aj-agazarm-m
4991,loser,DeAlonzio Jackson,athlete_dealonzio-jackson-m
13919,winner,AJ Agazarm,athlete_aj-agazarm-m
13919,loser,Ethan Crelinsten,athlete_ethan-crelinsten-m
13921,winner,AJ Agazarm,athlete_aj-agazarm-m
13921,loser,Pablo Mantovani,athlete_pablo-mantovani-m
1715,winner,Alexandre Ribeiro,athlete_alexandre-ribeiro-m
1715,loser,Braulio Estima,athlete_braulio-estima-m
2280,winner,Alexandre Ribeiro,athlete_alexandre-ribeiro-m
2280,loser,Vinicius Magalhaes,athlete_vinicius-magalhaes-m
2297,winner,Alexandre Ribeiro,athlete_alexandre-ribeiro-m
2297,loser,Ricco Rodriguez,athlete_ricco-rodriguez-m
2301,winner,Alexandre Ribeiro,athlete_alexandre-ribeiro-m
2301,loser,Andre Galvao,athlete_andre-galvao-m
3318,winner,Alexandre Ribeiro,athlete_alexandre-ribeiro-m
3318,loser,Murilo Santana,athlete_murilo-santana-m
13881,winner,Alexandre Ribeiro,athlete_alexandre-ribeiro-m
13881,loser,John Salter,athlete_john-salter-m
13890,winner,Alexandre Ribeiro,athlete_alexandre-ribeiro-m
13890,loser,Craig Jones,athlete_craig-jones-m
35082,winner,Amy Campo,athlete_amy-campo-f
35082,loser,Elisabeth Clay,athlete_elisabeth-clay-f
35086,winner,Amy Campo,athlete_amy-campo-f
35086,loser,Gabrielle Garcia,athlete_gabrielle-garcia-f
1665,winner,Andre Galvao,athlete_andre-galvao-m
1665,loser,Fabricio Werdum,athlete_fabricio-werdum-m
3297,winner,Andre Galvao,athlete_andre-galvao-m
3297,loser,Rousimar Palhares,athlete_rousimar-palhares-m
3315,winner,Andre Galvao,athlete_andre-galvao-m
3315,loser,Sergio Moraes,athlete_sergio-moraes-m
3316,winner,Andre Galvao,athlete_andre-galvao-m
3316,loser,Murilo Santana,athlete_murilo-santana-m
3319,winner,Andre Galvao,athlete_andre-galvao-m
3319,loser,Pablo Popovitch,athlete_pablo-popovitch-m
5067,winner,Andre Galvao,athlete_andre-galvao-m
5067,loser,Braulio Estima,athlete_braulio-estima-m
8000,winner,Andre Galvao,athlete_andre-galvao-m
8000,loser,Roberto Abreu,athlete_roberto-abreu-m
21916,winner,Andre Galvao,athlete_andre-galvao-m
21916,loser,Felipe Pena,athlete_felipe-pena-m
3233,winner,Augusto Mendes,athlete_augusto-mendes-m
3233,loser,Vagner Rocha,athlete_vagner-rocha-m
7965,winner,Augusto Mendes,athlete_augusto-mendes-m
7965,loser,Edward Cummings,athlete_edward-cummings-m
7970,winner,Augusto Mendes,athlete_augusto-mendes-m
7970,loser,Geovanny Martinez,athlete_geovanny-martinez-m
21863,winner,Augusto Mendes,athlete_augusto-mendes-m
21863,loser,Keith Krikorian,athlete_keith-krikorian-m
21872,winner,Augusto Mendes,athlete_augusto-mendes-m
21872,loser,Matheus Gabriel Barros,athlete_matheus-gabriel-barros-m
503,winner,Baret Yoshida,athlete_baret-yoshida-m
503,loser,Alexandre de Freitas,athlete_alexandre-de-freitas-m
771,winner,Baret Yoshida,athlete_baret-yoshida-m
771,loser,Alexandre de Freitas,athlete_alexandre-de-freitas-m
21896,winner,Augusto Mendes,athlete_augusto-mendes-m
21896,loser,Paulo Miyao,athlete_paulo-miyao-m
35043,winner,Elder Cruz,athlete_elder-cruz-m
35043,loser,Patrick Gaudio,athlete_patrick-gaudio-m
34998,winner,Fabricio Andrey,athlete_fabricio-andrey-m
34998,loser,Cole Abate,athlete_cole-abate-m
828,winner,Fabricio Werdum,athlete_fabricio-werdum-m
828,loser,Marcio Cruz,athlete_marcio-cruz-m
1215,winner,Fabricio Werdum,athlete_fabricio-werdum-m
1215,loser,Marcio Corleta,athlete_marcio-corleta-m
2293,winner,Fabricio Werdum,athlete_fabricio-werdum-m
2293,loser,Roberto Abreu,athlete_roberto-abreu-m
3252,winner,Fabricio Werdum,athlete_fabricio-werdum-m
3252,loser,Alexander Trans,athlete_alexander-trans-m
3289,winner,Fabricio Werdum,athlete_fabricio-werdum-m
3289,loser,Roberto Abreu,athlete_roberto-abreu-m
35079,winner,Ffion Davies,athlete_ffion-davies-f
35079,loser,Brianna Ste-Marie,athlete_brianna-stemarie-f
7912,winner,Felipe Pena,athlete_felipe-pena-m
7912,loser,Roberto Alencar,athlete_roberto-alencar-m
7922,winner,Felipe Pena,athlete_felipe-pena-m
7922,loser,Joao Assis,athlete_joao-assis-m
13868,winner,Felipe Pena,athlete_felipe-pena-m
13868,loser,Abdurakhman Bilarov,athlete_abdurakhman-bilarov-m
13872,winner,Felipe Pena,athlete_felipe-pena-m
13872,loser,Rafael Lovato Jr,athlete_rafael-lovato-jr-m
13925,winner,Felipe Pena,athlete_felipe-pena-m
13925,loser,Celso Vinicius,athlete_celso-vinicius-m
13937,winner,Felipe Pena,athlete_felipe-pena-m
13937,loser,Marcus Almeida,athlete_marcus-almeida-m
35092,winner,Felipe Pena,athlete_felipe-pena-m
35092,loser,Roberto Jimenez,athlete_roberto-jimenez-m
2292,winner,Fabricio Werdum,athlete_fabricio-werdum-m
2292,loser,Saulo Ribeiro,athlete_saulo-ribeiro-m
13939,winner,Felipe Pena,athlete_felipe-pena-m
13939,loser,Gordon Ryan,athlete_gordon-ryan-m
13867,winner,Jackson Sousa,athlete_jackson-sousa-m
13867,loser,Paul Ardila-Ibarra,athlete_paul-ardilaibarra-m
13871,winner,Jackson Sousa,athlete_jackson-sousa-m
13871,loser,Joao Assis,athlete_joao-assis-m
13874,winner,Jackson Sousa,athlete_jackson-sousa-m
